,country,continent,population,day,active_cases,critical_cases,total_cases,recovered_cases,1M_pop_cases,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests
115,Liberia,Africa,5305117.0,2025-07-28,12.0,2.0,8090.0,7783.0,1525.0,56.0,295.0,26356.0,139824.0
116,Libya,Africa,7040745.0,2025-07-28,2.0,55.32692307692308,507274.0,500835.0,72048.0,914.0,6437.0,352782.0,2483848.0
117,Liechtenstein,Europe,38387.0,2025-07-28,33602.818681318684,55.32692307692308,21574.0,3097055.0276243095,562013.0,2449.0,94.0,2929559.0,112457.0
118,Lithuania,Europe,2661708.0,2025-07-28,431.0,55.32692307692308,1397806.0,1387478.0,525154.0,3718.0,9897.0,3959997.0,10540357.0
119,Luxembourg,Europe,642371.0,2025-07-28,33602.818681318684,55.32692307692308,391232.0,3097055.0276243095,609044.0,1918.0,1232.0,7140959.0,4587145.0
120,Macao,Asia,667490.0,2025-07-28,24063.0,55.32692307692308,27673.0,3487.0,41458.0,184.0,123.0,11760.0,7850.0
121,Madagascar,Africa,29178077.0,2025-07-28,198.0,55.32692307692308,68486.0,66862.0,2347.0,49.0,1426.0,18210.0,531329.0
122,Malawi,Africa,20180839.0,2025-07-28,33602.818681318684,55.32692307692308,89535.0,3097055.0276243095,4437.0,133.0,2686.0,30959.0,624784.0
123,Malaysia,Asia,33181072.0,2025-07-28,7790.0,11.0,5278406.0,5233268.0,159079.0,1126.0,37348.0,2066869.0,68580916.0
124,Maldives,Asia,540985.0,2025-07-28,22691.0,25.0,186694.0,163687.0,345100.0,584.0,316.0,4092223.0,2213831.0
125,Mali,Africa,21473764.0,2025-07-28,89.0,55.32692307692308,33164.0,32332.0,1544.0,35.0,743.0,37483.0,804909.0
126,Malta,Europe,444033.0,2025-07-28,386.0,55.32692307692308,121420.0,120149.0,273448.0,1993.0,885.0,4888375.0,2170600.0
